2022/12/25 12:01:35, BLARE, 5, 4
2022/12/25 12:02:15, SPOIL, 5, 5
2022/12/25 12:03:11, SNIPE, 5, 4
2022/12/25 12:04:22, BRICK, 5, 3
2022/12/25 12:06:27, CERTI, 5, 4
2022/12/25 12:06:41, GRUNT, 5, 2
2022/12/25 12:15:37, SCAMS, 5, 3
2022/12/26 11:12:02, DROLL, 5, 6
2022/12/26 11:16:02, RIFLE, 5, 6
2022/12/26 11:16:21, BASEL, 5, lost
2022/12/27 02:31:55, SWEET, 5, 6
2022/12/27 02:37:04, HOOEY, 5, 4
2022/12/27 10:40:51, SWUNG, 5, 4
2022/12/27 10:42:37, ORATE, 5, 4
2022/12/27 10:43:43, PEPSI, 5, 5
2022/12/27 10:45:44, WICKS, 5, 6
2022/12/27 10:47:38, FLOOR, 5, 4
2022/12/27 10:49:23, AWFUL, 5, lost
2022/12/27 10:51:32, CLOWN, 5, 3
2022/12/27 11:07:10, DARTER, 6, 1
2022/12/27 11:12:04, ARTERIOSCLEROSIS, 16, 1
2022/12/27 11:14:19, FEAST, 5, 2
2022/12/27 11:16:21, ALPHANUMERICALLY, 16, 1
2022/12/27 11:17:03, POE, 3, 4
2022/12/27 13:40:15, LENCE, 5, 2
2022/12/28 12:59:15, DEARS, 5, lost
2022/12/30 10:47:53, BORIS, 5, 4
2022/12/30 10:49:27, BACON, 5, 4
